name,dob,country,nationalTeam,battingStyle,bowlingStyle
Aftab Gul,31-03-1946,India,Pakistan,Right-hand bat,Leg-break
Aftab Habib,07-02-1972,England,England,Right-hand bat,Right-arm medium-fast
Aftab Shamshudeen,09-07-1977,Guyana,Canada,Right-hand bat,Off-break
Afzaal Haider,12-12-1971,Pakistan,Hong Kong,Right-hand bat,Right-arm medium
Agha Saadat Ali,21-06-1929,India,Pakistan,Right-hand bat,
Agha Zahid,07-01-1953,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Ahmed Kamal,15-06-1977,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Ahmed Raza,10-10-1988,United Arab Emirates,United Arab Emirates,Left-hand bat,Slow left-arm
Ahmed Shah,20-10-1983,Afghanistan,Afghanistan,Left-hand bat,Slow left-arm
Ahmed Shehzad,23-11-1991,Pakistan,Pakistan,Right-hand bat,Leg-break
Ahsan Malik,29-08-1989,Netherlands,Netherlands,Right-hand bat,Right-arm medium-fast
Aiden Blizzard,27-06-1984,Australia,India,Left-hand bat,Left-arm medium
Aijaz Ali,20-06-1968,Pakistan,United States of America,Right-hand bat,Right-arm medium-fast
Aizaz Cheema,05-09-1979,Pakistan,Pakistan,Right-hand bat,Right-arm medium-fast
Aizaz Khan,21-03-1993,Hong Kong,Hong Kong,Right-hand bat,Right-arm medium-fast
Ajantha Mendis,11-03-1985,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm slow
Ajay Jadeja,01-02-1971,India,India,Right-hand bat,Right-arm medium
Ajay Ratra,13-12-1981,India,India,Right-hand bat,Right-arm
Ajay Sharma,03-04-1964,India,India,Right-hand bat,Slow left-arm
Ajinkya Rahane,06-06-1988,India,India,Right-hand bat,Right-arm medium
Ajit Agarkar,04-12-1977,India,India,Right-hand bat,Right-arm fast-medium
Ajit de Silva,12-12-1952,Sri Lanka,Sri Lanka,Left-hand bat,Slow left-arm
Ajit Pai,28-04-1945,India,India,Left-hand bat,Right-arm fast-medium
Ajit Wadekar,01-04-1941,India,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Ajith Weerakkody,01-10-1970,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Ajmal Shahzad,27-07-1985,England,England,Right-hand bat,Right-arm fast-medium
AK Sengupta,03-08-1939,India,India,Right-hand bat,Leg-break googly
Akalanka Ganegama,29-03-1981,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Akhtar Sarfraz,20-02-1976,Pakistan,Pakistan,Left-hand bat,Left-arm medium
Akila Dananjaya,04-10-1993,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Akram Khan,01-11-1968,Pakistan,Bangladesh,Right-hand bat,Right-arm medium
Akram Raza,22-11-1964,Pakistan,Pakistan,Right-hand bat,Off-break
Akshar Patel,20-01-1994,India,India,Left-hand bat,Slow left-arm
Al Sahariar,23-04-1978,Bangladesh,Bangladesh,Right-hand bat,Leg-break
Al-Amin Hossain,01-01-1990,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium-fast
Alamgir Kabir,10-01-1981,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium-fast
Alan Brown,17-10-1935,England,England,Right-hand bat,Right-arm fast-medium
Alan Butcher,07-01-1954,England,England,Left-hand bat,"Left-arm medium, Slow left-arm"
Alan Connolly,29-06-1939,Australia,Australia,Right-hand bat,Right-arm fast-medium
Alan Davidson,14-06-1929,Australia,Australia,Left-hand bat,Left-arm fast-medium
Alan Dawson,27-11-1969,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Alan Fairfax,16-06-1906,Australia,Australia,Right-hand bat,Right-arm fast-medium
Alan Hurst,15-07-1950,Australia,Australia,Right-hand bat,Right-arm fast
Alan Igglesden,08-10-1964,England,England,Right-hand bat,Right-arm fast-medium
Alan Kippax,25-05-1897,Australia,Australia,Right-hand bat,Leg-break
Alan Knott,09-04-1946,England,England,Right-hand bat,Off-break
Alan Melville,19-05-1910,South Africa,South Africa,Right-hand bat,"Leg-break googly, Off-break"
Alan Moss,14-11-1930,England,England,Right-hand bat,Right-arm fast-medium
Alan Mullally,12-07-1969,England,England,Right-hand bat,Left-arm fast-medium
Alan Oakman,20-04-1930,England,England,Right-hand bat,Off-break
Alan Smith,25-10-1936,England,England,Right-hand bat,Right-arm fast-medium
Alan Thomson,02-12-1945,Australia,Australia,Right-hand bat,Right-arm fast-medium
Alan Turner,23-07-1950,Australia,Australia,Left-hand bat,
Alan Ward,10-08-1947,England,England,Right-hand bat,Right-arm fast
Alan Wells,02-10-1961,England,England,Right-hand bat,Right-arm medium
Alan Wharton,30-04-1923,England,England,Left-hand bat,Right-arm medium
Alasdair Evans,12-01-1989,England,Scotland,Right-hand bat,Right-arm medium-fast
Alastair Cook,25-12-1984,England,England,Left-hand bat,Off-break
Alawi Shukri,23-01-1990,United Arab Emirates,United Arab Emirates,Left-hand bat,Off-break
Albert Hartkopf,28-12-1889,Australia,Australia,Right-hand bat,Leg-break
Albert Hornby,10-02-1847,England,England,Right-hand bat,"Right-arm, Left-arm"
Albert Knight,08-10-1872,England,England,Right-hand bat,
Albert Padmore,17-12-1946,Barbados,West Indies,Right-hand bat,Off-break
Albert Powell,18-07-1873,South Africa,South Africa,Right-hand bat,Right-arm
Albert Relf,26-06-1874,England,England,Right-hand bat,"Right-arm medium, Off-break"
Albert Rose-Innes,16-02-1868,South Africa,South Africa,Right-hand bat,Slow left-arm
Albert Trott,06-02-1873,Australia,England,Right-hand bat,"Right-arm fast-medium, Right-arm medium, Off-break"
Albert van der Merwe,01-06-1979,South Africa,Ireland,Right-hand bat,Off-break
Albert Ward,21-11-1865,England,England,Right-hand bat,Right-arm slow
Albie Morkel,10-06-1981,South Africa,South Africa,Left-hand bat,Right-arm medium-fast
Alby Roberts,20-08-1909,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Alec Bannerman,21-03-1854,Australia,Australia,Right-hand bat,Right-arm medium roundarm
Alec Bedser,04-07-1918,England,England,Right-hand bat,Right-arm medium-fast
Alec Coxon,18-01-1916,England,England,Right-hand bat,Right-arm medium-fast
Alec Davies,14-08-1962,Pakistan,Scotland,Right-hand bat,
Alec Hearne,22-07-1863,England,England,Right-hand bat,Right-arm slow
Alec Hurwood,17-06-1902,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Alec Stewart,08-04-1963,England,England,Right-hand bat,Right-arm medium
Alester Maregwede,05-08-1981,Zimbabwe,Zimbabwe,Right-hand bat,
Alex Cusack,29-10-1980,Australia,Ireland,Right-hand bat,Right-arm medium
Alex Doolan,29-11-1985,Australia,Australia,Right-hand bat,Right-arm medium
Alex French,01-12-1980,Hong Kong,Hong Kong,Right-hand bat,Off-break
Alex Hales,03-01-1989,England,England,Right-hand bat,Right-arm medium
Alex Kennedy,24-01-1891,Scotland,England,Right-hand bat,Right-arm medium
Alex Loudon,06-09-1980,England,England,Right-hand bat,Off-break
Alex Moir,17-07-1919,New Zealand,New Zealand,Right-hand bat,Leg-break googly
Alex Obanda,25-12-1987,Kenya,Kenya,Right-hand bat,Right-arm medium-fast
Alex Tait,13-06-1972,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Alex Tudor,23-10-1977,England,England,Right-hand bat,Right-arm fast
Alex Wharf,04-06-1975,England,England,Right-hand bat,Right-arm medium-fast
Alexander Webbe,16-01-1855,England,England,Right-hand bat,Right-arm fast
Alexei Kervezee,11-09-1989,Namibia,Netherlands,Right-hand bat,Off-break
Alf Gover,29-02-1908,England,England,Right-hand bat,Right-arm fast
Alf Hall,23-01-1896,England,South Africa,Left-hand bat,Left-arm fast-medium
Alfonso Thomas,09-02-1977,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Alfred Archer,06-12-1871,England,England,Right-hand bat,
Alfred Binns,24-07-1929,Jamaica,West Indies,Right-hand bat,
Alfred Cooper,02-09-1893,South Africa,South Africa,Right-hand bat,Right-arm medium
Alfred Dipper,09-11-1885,England,England,Right-hand bat,Right-arm medium
Alfred Luseno,20-12-1981,Kenya,Kenya,Right-hand bat,Right-arm medium
Alfred Lyttelton,07-02-1857,England,England,Right-hand bat,Right arm underarm
Alfred Richards,14-12-1867,South Africa,South Africa,Right-hand bat,
Alfred Scott,29-07-1934,Jamaica,West Indies,Right-hand bat,Leg-break
Alfred Shaw,29-08-1842,England,England,Right-hand bat,"Right-arm medium, Right-arm slow-medium"
Alfred Valentine,28-04-1930,Jamaica,West Indies,Right-hand bat,Slow left-arm
Algy Gehrs,29-11-1880,Australia,Australia,Right-hand bat,Leg-break
Ali Asad,06-12-1976,Pakistan,United Arab Emirates,Right-hand bat,Right-arm fast-medium
Ali Bacher,24-05-1942,South Africa,South Africa,Right-hand bat,Leg-break
Ali Naqvi,19-03-1977,Pakistan,Pakistan,Right-hand bat,Off-break
Ali Rizvi,06-01-1974,Pakistan,Pakistan,Right-hand bat,Leg-break
Ali Shah,07-08-1959,Zimbabwe,Zimbabwe,Left-hand bat,Right-arm medium
Alimuddin,15-12-1930,India,Pakistan,Right-hand bat,Leg-break
Alistair Brown,11-02-1970,England,England,Right-hand bat,Off-break
Alistair Campbell,23-09-1972,Zimbabwe,Zimbabwe,Left-hand bat,Off-break
Allan Border,27-07-1955,Australia,Australia,Left-hand bat,Slow left-arm
Allan Donald,20-10-1966,South Africa,South Africa,Right-hand bat,Right-arm fast
Allan Lamb,20-06-1954,South Africa,England,Right-hand bat,Right-arm medium
Allan Rae,30-09-1922,Jamaica,West Indies,Left-hand bat,
Allan Steel,24-09-1858,England,England,Right-hand bat,"Right-arm slow-medium, Right-arm fast-medium"
Allan Watkins,21-04-1922,England,England,Left-hand bat,Left-arm medium-fast
Allen Hill,15-11-1843,England,England,Right-hand bat,Right-arm fast roundarm
Allen Lissette,06-11-1919,New Zealand,New Zealand,Right-hand bat,Slow left-arm
Alok Kapali,01-01-1984,Bangladesh,Bangladesh,Right-hand bat,Leg-break
Alpesh Vadher,07-09-1974,Kenya,Kenya,Right-hand bat,
Alphonso Roberts,18-09-1937,St Vincent and the Grenadines,West Indies,Right-hand bat,
Alvin Greenidge,20-08-1956,Barbados,West Indies,Right-hand bat,Right-arm medium
Alvin Kallicharran,21-03-1949,Guyana,West Indies,Left-hand bat,Off-break
Alviro Petersen,25-11-1980,South Africa,South Africa,Right-hand bat,Right-arm medium
Amal Silva,12-12-1960,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Aman Ali,29-09-1989,United Arab Emirates,United Arab Emirates,Right-hand bat,Left-arm fast-medium
Amar Singh,04-12-1910,India,India,Right-hand bat,Right-arm fast-medium
Amay Khurasiya,18-05-1972,India,India,Left-hand bat,Slow left-arm
Ambar Roy,05-06-1945,India,India,Left-hand bat,Right-arm medium
Ambati Rayudu,23-09-1985,India,India,Right-hand bat,Off-break
Aminul Islam,02-02-1968,Pakistan,Bangladesh,Right-hand bat,Off-break
Amir Elahi,01-09-1908,India,Pakistan,Right-hand bat,"Right-arm medium, Leg-break googly"
Amit Bhandari,01-10-1978,India,India,Right-hand bat,Right-arm fast-medium
Amit Jaggernauth,16-11-1983,Trinidad and Tobago,West Indies,Left-hand bat,Off-break
Amit Mishra,24-11-1982,India,India,Right-hand bat,Leg-break
Amjad Ali,25-09-1979,Pakistan,United Arab Emirates,Left-hand bat,Right-arm medium
Amjad Javed,05-07-1980,United Arab Emirates,United Arab Emirates,Right-hand bat,Right-arm medium
Amjad Khan,14-10-1980,Denmark,England,Right-hand bat,Right-arm fast-medium
Anamul Haque,16-12-1992,Bangladesh,Bangladesh,Right-hand bat,
Anaru Kitchen,21-02-1984,New Zealand,New Zealand,Right-hand bat,Slow left-arm
Andre Adams,17-07-1975,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Andre Botha,12-09-1975,South Africa,Ireland,Left-hand bat,Right-arm medium
Andre Fletcher,28-11-1987,Grenada,West Indies,Right-hand bat,Right-arm medium-fast
Andre Nel,15-07-1977,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Andre Russell,29-04-1988,Jamaica,West Indies,Right-hand bat,Right-arm fast
Andrew Balbirnie,28-12-1990,Ireland,Ireland,Right-hand bat,Off-break
Andrew Britton,10-02-1988,Ireland,Ireland,Right-hand bat,Right-arm fast-medium
Andrew Ellis,24-03-1982,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Andrew Flintoff,06-12-1977,England,England,Right-hand bat,Right-arm fast
Andrew Gale,28-11-1983,England,,Left-hand bat,Leg-break
Andrew Greenwood,20-08-1847,England,England,Right-hand bat,
Andrew Hall,31-07-1975,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Andrew Hilditch,20-05-1956,Australia,Australia,Right-hand bat,Right-arm medium
Andrew Hodd,12-01-1984,England,,Right-hand bat,
Andrew Hudson,17-03-1965,South Africa,South Africa,Right-hand bat,Right-arm medium
Andrew Jones,09-05-1959,New Zealand,New Zealand,Right-hand bat,Off-break
Andrew McDonald,15-06-1981,Australia,Australia,Right-hand bat,Right-arm fast-medium
Andrew Penn,27-07-1974,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Andrew Poynter,25-04-1987,England,Ireland,Right-hand bat,Off-break
Andrew Puttick,11-12-1980,South Africa,South Africa,Left-hand bat,Right-arm medium
Andrew Stoddart,11-03-1863,England,England,Right-hand bat,Right-arm medium
Andrew Strauss,02-03-1977,South Africa,England,Left-hand bat,Left-arm medium
Andrew Symonds,09-06-1975,England,Australia,Right-hand bat,Off-break
Andrew White,03-07-1980,Ireland,Ireland,Right-hand bat,Off-break
Andrew Whittall,28-03-1973,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Andrew Zesers,11-03-1967,Australia,Australia,Right-hand bat,Right-arm medium-fast
Andy Bichel,27-08-1970,Australia,Australia,Right-hand bat,Right-arm fast-medium
Andy Blignaut,01-08-1978,Zimbabwe,Zimbabwe,Left-hand bat,Right-arm medium-fast
Andy Caddick,21-11-1968,New Zealand,England,Right-hand bat,Right-arm fast-medium
Andy Cummins,07-05-1966,Barbados,West Indies,Right-hand bat,Right-arm fast-medium
Andy DG Roberts,06-05-1947,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Andy Ducat,16-02-1886,England,England,Right-hand bat,Right-arm slow
Andy Flower,28-04-1968,South Africa,Zimbabwe,Left-hand bat,Off-break
Andy Ganteaume,22-01-1921,Trinidad and Tobago,West Indies,Right-hand bat,
Andy Lloyd,05-11-1956,England,England,Left-hand bat,Right-arm medium
Andy McBrine,30-04-1993,Ireland,Ireland,Left-hand bat,Off-break
Andy McKay,17-04-1980,New Zealand,New Zealand,Right-hand bat,Left-arm fast-medium
Andy Pycroft,06-06-1956,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Andy Roberts,29-01-1951,Antigua and barbuda,West Indies,Right-hand bat,Right-arm fast
Andy Sandham,06-07-1890,England,England,Right-hand bat,
Andy Waller,25-09-1959,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Angelo Mathews,02-06-1987,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Angelo Perera,23-02-1990,Sri Lanka,Sri Lanka,Right-hand bat,Slow left-arm
Angus Fraser,08-08-1965,England,England,Right-hand bat,Right-arm fast-medium
Angus Mackay,13-06-1967,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Anil Dalpat,20-09-1963,Pakistan,Pakistan,Right-hand bat,
Anil Kumble,17-10-1970,India,India,Right-hand bat,Leg-break googly
Anisur Rahman,01-03-1971,Pakistan,Bangladesh,,
Ankur Sharma,01-11-1983,India,Hong Kong,Right-hand bat,Leg-break
Anshuman Gaekwad,23-09-1952,India,India,Right-hand bat,Off-break
Antao D'Souza,17-01-1939,India,Pakistan,Right-hand bat,"Right-arm medium, Off-break"
Anthony Ireland,30-08-1984,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Anthony Martin,18-11-1982,Antigua and barbuda,West Indies,Right-hand bat,Leg-break
Anthony McGrath,06-10-1975,England,England,Right-hand bat,Right-arm medium
Anthony Stuart,02-01-1970,Australia,Australia,Right-hand bat,Right-arm fast-medium
Anton Devcich,28-09-1985,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Anton Murray,30-04-1922,South Africa,South Africa,Right-hand bat,Right-arm slow-medium
Anura Ranasinghe,13-10-1956,Sri Lanka,Sri Lanka,Right-hand bat,"Left-arm medium, Slow left-arm"
Anura Tennekoon,29-10-1946,Sri Lanka,Sri Lanka,Right-hand bat,Slow left-arm
Anwar Ali,25-11-1987,Pakistan,Pakistan,Right-hand bat,Right-arm medium-fast
Anwar Hossain,31-12-1981,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Anwar Hussain,16-07-1920,India,Pakistan,Right-hand bat,Right-arm fast-medium
Anwar Khan,24-12-1955,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Arafat Sunny,29-09-1986,Bangladesh,Bangladesh,Left-hand bat,Slow left-arm
Aravinda de Silva,17-10-1965,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Archibald Palm,08-06-1901,South Africa,South Africa,Right-hand bat,
Archie Jackson,05-09-1909,Scotland,Australia,Right-hand bat,Off-break
Archie MacLaren,01-12-1871,England,England,Right-hand bat,Right-arm fast
Archie Wiles,11-08-1892,Barbados,West Indies,Right-hand bat,
Arif Butt,17-05-1944,India,Pakistan,Right-hand bat,Right-arm fast-medium
Arjuna Ranatunga,01-12-1963,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium
Arnie Sidebottom,01-04-1954,England,England,Right-hand bat,Right-arm fast-medium
Arnold Fothergill,26-08-1854,England,England,Left-hand bat,Left-arm medium-fast
Arnold Warren,02-04-1875,England,England,Right-hand bat,Right-arm fast
Arsalan Qadir,15-09-1989,Pakistan,Canada,Right-hand bat,Right-arm medium-fast
Arshad Ali,06-04-1976,Pakistan,United Arab Emirates,Right-hand bat,Right-arm medium
Arshad Ayub,02-08-1958,India,India,Right-hand bat,Off-break
Arshad Khan,22-03-1971,Pakistan,Pakistan,Right-hand bat,Off-break
Arshad Laeeq,28-11-1970,Pakistan,United Arab Emirates,Right-hand bat,Right-arm fast-medium
Arshad Pervez,01-10-1953,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Arthur Barrett,04-04-1944,Jamaica,West Indies,Right-hand bat,Leg-break googly
Arthur Carr,21-05-1893,England,England,Right-hand bat,Right-arm medium
Arthur Chipperfield,17-11-1905,Australia,Australia,Right-hand bat,Leg-break
Arthur Coningham,14-07-1863,Australia,Australia,Left-hand bat,Left-arm fast-medium
Arthur Dolphin,24-12-1885,England,England,Right-hand bat,
Arthur Fagg,18-06-1915,England,England,Right-hand bat,Right-arm medium
Arthur Fielder,19-07-1877,England,England,Right-hand bat,Right-arm fast
Arthur Gilligan,23-12-1894,England,England,Right-hand bat,Right-arm fast-medium
Arthur Jones,16-08-1872,England,England,Right-hand bat,Leg-break
Arthur Langton,02-03-1912,South Africa,South Africa,Right-hand bat,"Right-arm fast-medium, Right-arm medium"
Arthur Mailey,03-01-1886,Australia,Australia,Right-hand bat,Leg-break googly
Arthur McIntyre,14-05-1918,England,England,Right-hand bat,Leg-break
Arthur Milton,10-03-1928,England,England,Right-hand bat,Right-arm medium
Arthur Mitchell,13-09-1902,England,England,Right-hand bat,Right-arm slow
Arthur Mold,27-05-1863,England,England,Right-hand bat,Right-arm fast
Arthur Morris,19-01-1922,Australia,Australia,Left-hand bat,Chinaman
Arthur Ochse,11-03-1870,South Africa,South Africa,Right-hand bat,
Arthur Pitcher,20-11-1981,Bermuda,Bermuda,Right-hand bat,Right-arm medium-fast
Arthur Richardson,24-07-1888,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Arthur Seccull,14-09-1868,South Africa,South Africa,Right-hand bat,Right-arm medium
Arthur Shrewsbury,11-04-1856,England,England,Right-hand bat,Right-arm
Arthur Wellard,08-04-1902,England,England,Right-hand bat,"Right-arm fast-medium, Off-break"
Arthur Wood,25-08-1898,England,England,Right-hand bat,
Artie Dick,10-10-1936,New Zealand,New Zealand,Right-hand bat,
Arul Suppiah,30-08-1983,Malaysia,,Right-hand bat,Slow left-arm
Arun Lal,01-08-1955,India,India,Right-hand bat,Right-arm medium
Aruna Gunawardene,31-03-1969,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Arvind Apte,24-10-1934,India,India,Right-hand bat,Right-arm medium
Arvind Kandappah,07-03-1971,Sri Lanka,Canada,Right-hand bat,
Asad Ali,14-10-1988,Pakistan,Pakistan,Right-hand bat,Right-arm medium-fast
Asad Shafiq,28-01-1986,Pakistan,Pakistan,Right-hand bat,Leg-break
Asanka Gurusinha,16-09-1966,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium
Asghar Ali,03-09-1971,Pakistan,United Arab Emirates,Right-hand bat,Off-break
Asghar Stanikzai,27-02-1987,Pakistan,Afghanistan,Right-hand bat,Right-arm medium-fast
Ashan Priyanjan,14-08-1989,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium-fast
Ashantha de Mel,09-05-1959,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium-fast
Ashfaq Ahmed,06-06-1973,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Ashish Bagai,26-01-1982,India,Canada,Right-hand bat,
Ashish Nehra,29-04-1979,India,India,Right-hand bat,Left-arm medium-fast
Ashish Patel,31-07-1975,Canada,Canada,Right-hand bat,Right-arm medium
Ashley de Silva,03-12-1963,Sri Lanka,Sri Lanka,Right-hand bat,
Ashley Giles,19-03-1973,England,England,Right-hand bat,Slow left-arm
Ashley Mallett,13-07-1945,Australia,Australia,Right-hand bat,Off-break
Ashley Noffke,30-04-1977,Australia,Australia,Right-hand bat,Right-arm fast-medium
Ashley Nurse,22-12-1988,Barbados,West Indies,Right-hand bat,Off-break
Ashley Woodcock,27-02-1947,Australia,Australia,Right-hand bat,
Ashok Dinda,25-03-1984,India,India,Right-hand bat,Right-arm medium-fast
Ashok Gandotra,24-11-1948,Brazil,India,Left-hand bat,Slow left-arm
Ashok Malhotra,26-01-1957,India,India,Right-hand bat,Right-arm medium
Ashok Mankad,12-10-1946,India,India,Right-hand bat,Right-arm medium
Ashok Patel,06-03-1957,India,India,Right-hand bat,Off-break
Ashraf Ali,22-04-1958,Pakistan,Pakistan,Right-hand bat,
Ashton Agar,14-10-1993,Australia,Australia,Left-hand bat,Slow left-arm
Ashwell Prince,28-05-1977,South Africa,South Africa,Left-hand bat,Off-break
Asif Iqbal,06-06-1943,India,Pakistan,Right-hand bat,Right-arm medium
Asif Mahmood,18-12-1975,Pakistan,Pakistan,Right-hand bat,Off-break
Asif Masood,23-01-1946,India,Pakistan,Right-hand bat,Right-arm fast-medium
Asif Mujtaba,04-11-1967,Pakistan,Pakistan,Left-hand bat,Slow left-arm
Asif Mulla,05-05-1980,India,Canada,Right-hand bat,
Asim Butt,24-10-1967,Pakistan,Scotland,Right-hand bat,Left-arm medium-fast
